time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,0.70135,0.70188,0.69779,0.69825,14554,17,0
2020-01-03,0.69825,0.69856,0.69296,0.69468,17158,17,0
2020-01-05,0.69403,0.69429,0.69322,0.69425,1025,21,0
2020-01-06,0.69424,0.69569,0.69247,0.6936,15677,17,0
2020-01-07,0.6936,0.69383,0.68495,0.68579,17798,17,0
2020-01-08,0.68583,0.68844,0.68484,0.68734,22106,17,0
2020-01-09,0.68739,0.68796,0.68496,0.68525,14164,17,0
2020-01-10,0.68525,0.69098,0.68499,0.68987,15316,17,0
2020-01-12,0.68963,0.6904,0.68942,0.68991,677,17,0
2020-01-13,0.68991,0.69189,0.68939,0.68964,14580,17,0
2020-01-14,0.68965,0.69085,0.68844,0.68938,15931,17,0
2020-01-15,0.68938,0.69159,0.68767,0.69062,14759,17,0
2020-01-16,0.69064,0.69329,0.68872,0.68974,14565,17,0
2020-01-17,0.68975,0.69102,0.68703,0.68717,13481,17,0
2020-01-19,0.68713,0.68813,0.68713,0.68805,619,17,0
2020-01-20,0.68805,0.68877,0.68544,0.68747,10806,17,0
2020-01-21,0.68748,0.68796,0.68409,0.68459,15675,17,0
2020-01-22,0.68462,0.68553,0.68263,0.68406,14641,17,0
2020-01-23,0.68406,0.68779,0.68288,0.68412,17822,17,0
2020-01-24,0.68476,0.68563,0.68172,0.68247,14222,17,0
2020-01-26,0.68104,0.68146,0.68005,0.68006,1112,17,0
2020-01-27,0.68006,0.68162,0.67517,0.67607,15485,17,0
2020-01-28,0.67609,0.67642,0.67365,0.67629,14884,17,0
2020-01-29,0.6763,0.67765,0.67346,0.67515,15397,15,0
2020-01-30,0.67521,0.67526,0.66994,0.67044,18809,15,0
2020-01-31,0.67046,0.67287,0.66821,0.66871,17583,15,0
2020-02-02,0.66835,0.66942,0.6683,0.66917,1047,15,0
2020-02-03,0.66919,0.67062,0.66833,0.6689,17422,15,0
2020-02-04,0.66889,0.67409,0.66776,0.67305,18084,15,0
2020-02-05,0.67305,0.67734,0.67234,0.67507,17560,15,0
2020-02-06,0.67507,0.6764,0.67265,0.67307,15345,15,0
2020-02-07,0.67308,0.6731,0.66617,0.66726,15998,15,0
2020-02-09,0.66655,0.66773,0.66655,0.66695,1023,15,0
2020-02-10,0.66695,0.67065,0.66674,0.66889,16031,15,0
2020-02-11,0.66889,0.67359,0.66808,0.67177,14877,15,0
2020-02-12,0.67178,0.6749,0.67075,0.67125,15466,15,0
2020-02-13,0.67124,0.67443,0.67085,0.67181,16570,15,0
2020-02-14,0.67182,0.67304,0.67087,0.67122,12149,15,0
2020-02-16,0.67197,0.67283,0.67157,0.67249,730,15,0
2020-02-17,0.67249,0.67326,0.67062,0.67089,9850,15,0
2020-02-18,0.67089,0.67089,0.66732,0.66928,14092,15,0
2020-02-19,0.66931,0.67065,0.66647,0.66802,13171,15,0
2020-02-20,0.66802,0.66934,0.66098,0.66111,19718,15,0
2020-02-21,0.66111,0.6638,0.65854,0.66259,17362,15,0
2020-02-23,0.66038,0.66069,0.65926,0.66048,1150,15,0
2020-02-24,0.66048,0.66189,0.65864,0.66104,20803,15,0
2020-02-25,0.66102,0.66216,0.6586,0.6604,21439,15,0
2020-02-26,0.66042,0.66059,0.65414,0.65458,23037,15,0
2020-02-27,0.65461,0.65911,0.65424,0.65798,26144,15,0
2020-02-28,0.65797,0.65845,0.64336,0.65063,34217,15,0
2020-03-01,0.64735,0.65205,0.64723,0.65124,1680,15,0
2020-03-02,0.65126,0.65672,0.64881,0.65458,33357,15,0
2020-03-03,0.6547,0.66441,0.6509,0.65824,34376,15,0
2020-03-04,0.65824,0.6627,0.65824,0.6627,23857,15,0
2020-03-05,0.66273,0.6636,0.65835,0.66148,20342,15,0
2020-03-06,0.66151,0.66566,0.65847,0.66408,26216,15,0
2020-03-08,0.66013,0.662,0.65934,0.6612,4080,15,0
2020-03-09,0.66119,0.66842,0.63126,0.65971,61925,15,0
2020-03-10,0.6597,0.66031,0.64623,0.64937,40670,15,0
2020-03-11,0.64938,0.65386,0.647,0.64764,35383,15,0
2020-03-12,0.64765,0.64806,0.62122,0.62739,57764,15,0
2020-03-13,0.62741,0.63247,0.61231,0.61834,54907,15,0
2020-03-15,0.62026,0.62932,0.61151,0.61784,5908,15,0
2020-03-16,0.61783,0.61878,0.60784,0.61013,62453,15,0
2020-03-17,0.61013,0.6148,0.59587,0.5989,53356,15,0
2020-03-18,0.5989,0.60277,0.57016,0.5791,61378,15,0
2020-03-19,0.57913,0.59632,0.55084,0.57437,102576,15,0
2020-03-20,0.57437,0.59851,0.57091,0.57953,72908,15,0
2020-03-22,0.58043,0.58163,0.5703,0.57529,9262,15,0
2020-03-23,0.57528,0.58844,0.57,0.58749,88925,15,0
2020-03-24,0.58751,0.59873,0.58646,0.59688,62552,15,0
2020-03-25,0.59685,0.60724,0.58918,0.59012,57511,15,0
2020-03-26,0.59014,0.60866,0.587,0.60776,53624,15,0
2020-03-27,0.60776,0.61994,0.60224,0.61641,56063,15,0
2020-03-29,0.61486,0.61826,0.61109,0.61735,4071,15,0
2020-03-30,0.61737,0.61835,0.61118,0.61646,56801,15,0
2020-03-31,0.61646,0.62128,0.60738,0.61373,69077,15,0
2020-04-01,0.61375,0.61845,0.60385,0.60893,51080,15,0
2020-04-02,0.60892,0.61185,0.60065,0.60642,46828,15,0
2020-04-03,0.6064,0.60746,0.59795,0.59917,38732,15,0
2020-04-05,0.60125,0.60132,0.59915,0.59923,3021,15,0
2020-04-06,0.59924,0.61217,0.59907,0.61162,37292,15,0
2020-04-07,0.61163,0.62073,0.60972,0.61513,42733,15,0
2020-04-08,0.61511,0.62439,0.61153,0.62326,39341,15,0
2020-04-09,0.62326,0.63621,0.6195,0.63297,37572,15,0
2020-04-10,0.63296,0.63657,0.6311,0.63441,11171,44,0
2020-04-12,0.63427,0.63545,0.6324,0.63343,2162,15,0
2020-04-13,0.63343,0.64085,0.63304,0.63986,24460,15,0
2020-04-14,0.63987,0.6444,0.63742,0.64339,29680,15,0
2020-04-15,0.64341,0.64354,0.6284,0.6308,33497,15,0
2020-04-16,0.6308,0.63842,0.62635,0.63591,62964,15,0
2020-04-17,0.63591,0.63827,0.63138,0.63625,51551,15,0
2020-04-19,0.63622,0.63635,0.6336,0.6336,2210,15,0
2020-04-20,0.63361,0.63965,0.63281,0.63411,45612,15,0
2020-04-21,0.63413,0.63458,0.62529,0.62918,57496,15,0
2020-04-22,0.62919,0.63515,0.62805,0.62964,48539,15,0
2020-04-23,0.62966,0.64053,0.62825,0.63754,52616,15,0
2020-04-24,0.63754,0.63969,0.63366,0.63833,37390,15,0
2020-04-26,0.63792,0.63979,0.6379,0.63967,1450,15,0
2020-04-27,0.63966,0.6471,0.63921,0.64487,35262,15,0
2020-04-28,0.64487,0.65133,0.64337,0.65016,39721,15,0
2020-04-29,0.65017,0.65573,0.65006,0.65537,40397,15,0
2020-04-30,0.65537,0.65691,0.64807,0.64937,52589,15,0
2020-05-01,0.64939,0.64966,0.64093,0.64176,37116,15,0
2020-05-03,0.64051,0.64095,0.63723,0.63759,3042,15,0
2020-05-04,0.63758,0.64341,0.63722,0.6425,41069,15,0
2020-05-05,0.64252,0.64754,0.64163,0.64326,40580,15,0
2020-05-06,0.64328,0.64522,0.63778,0.63903,39284,15,0
2020-05-07,0.63904,0.651,0.63904,0.65,43268,15,0
2020-05-08,0.65,0.65473,0.64973,0.65174,34204,15,0
2020-05-10,0.65225,0.65365,0.65122,0.65347,2107,15,0
2020-05-11,0.65346,0.65608,0.64558,0.64834,38734,15,0
2020-05-12,0.64836,0.65355,0.64315,0.6451,47179,15,0
2020-05-13,0.6451,0.65234,0.64378,0.64522,59094,15,0
2020-05-14,0.64524,0.64729,0.64029,0.64697,52297,15,0
2020-05-15,0.64697,0.64725,0.64015,0.6413,42002,15,0
2020-05-17,0.64178,0.64275,0.64069,0.64245,1928,15,0
2020-05-18,0.64247,0.65266,0.64193,0.65228,38535,15,0
2020-05-19,0.65229,0.65842,0.65092,0.65396,45539,15,0
2020-05-20,0.65397,0.66154,0.65272,0.65906,38808,15,0
2020-05-21,0.65906,0.65974,0.65481,0.65658,44240,15,0
2020-05-22,0.65658,0.65717,0.65054,0.65363,38600,15,0
2020-05-24,0.65329,0.65475,0.65272,0.65446,1860,15,0
2020-05-25,0.65448,0.65496,0.65192,0.65489,23735,15,0
2020-05-26,0.6549,0.66745,0.65416,0.66448,40852,15,0
2020-05-27,0.66449,0.66795,0.6566,0.66204,58663,15,0
2020-05-28,0.66205,0.66667,0.65876,0.66318,54019,15,0
2020-05-29,0.6632,0.66825,0.6618,0.66724,61277,15,0
2020-05-31,0.66576,0.66669,0.66465,0.66577,3193,15,0
2020-06-01,0.66576,0.68058,0.66575,0.67831,53178,15,0
2020-06-02,0.67832,0.69216,0.67743,0.69122,53171,15,0
2020-06-03,0.69124,0.69825,0.6856,0.69263,70519,15,0
2020-06-04,0.69263,0.69869,0.68815,0.69381,66675,15,0
2020-06-05,0.69382,0.70121,0.69301,0.69678,62436,15,0
2020-06-07,0.6963,0.70026,0.6963,0.69992,2492,15,0
2020-06-08,0.69992,0.70286,0.69611,0.70227,45166,15,0
2020-06-09,0.70228,0.70419,0.68978,0.69385,60291,15,0
2020-06-10,0.69385,0.70634,0.6932,0.69674,77061,15,0
2020-06-11,0.69673,0.69935,0.6817,0.68283,91969,15,0
2020-06-12,0.68284,0.69111,0.67991,0.68649,93877,15,0
2020-06-14,0.68422,0.68431,0.68092,0.68249,5935,15,0
2020-06-15,0.68251,0.69622,0.67758,0.69616,93078,15,0
2020-06-16,0.69615,0.69761,0.68331,0.68926,90317,15,0
2020-06-17,0.68928,0.69219,0.68516,0.68757,74007,15,0
2020-06-18,0.68758,0.69017,0.68352,0.68555,66414,15,0
2020-06-19,0.68557,0.69109,0.68287,0.68341,49030,15,0
2020-06-21,0.68125,0.68297,0.68092,0.68191,3726,15,0
2020-06-22,0.6819,0.69343,0.68161,0.69284,45543,15,0
2020-06-23,0.69285,0.6974,0.68573,0.69427,61180,15,0
2020-06-24,0.69428,0.69612,0.6853,0.6855,61435,15,0
2020-06-25,0.68552,0.68947,0.68469,0.68875,54558,15,0
2020-06-26,0.68875,0.68946,0.68399,0.68651,40103,15,0
2020-06-28,0.6858,0.68657,0.68445,0.68596,2308,15,0
2020-06-29,0.68595,0.68901,0.6841,0.68711,40438,15,0
2020-06-30,0.68713,0.69114,0.68322,0.68988,42477,15,0
2020-07-01,0.68988,0.69429,0.68765,0.69105,41904,15,0
2020-07-02,0.69104,0.69515,0.6901,0.69184,43702,15,0
2020-07-03,0.69186,0.69465,0.69133,0.69378,31971,15,0
2020-07-05,0.69306,0.69493,0.69266,0.69474,1556,15,0
2020-07-06,0.69474,0.69869,0.6946,0.6974,32858,15,0
2020-07-07,0.6974,0.6997,0.69215,0.69413,42130,15,0
2020-07-08,0.69413,0.69874,0.69267,0.69849,41257,15,0
2020-07-09,0.69849,0.70003,0.69494,0.69591,46143,15,0
2020-07-10,0.69592,0.69686,0.6923,0.69486,36388,15,0
2020-07-12,0.69533,0.69583,0.69479,0.6949,2407,15,0
2020-07-13,0.6949,0.69923,0.69353,0.69357,38834,15,0
2020-07-14,0.69359,0.69928,0.69206,0.69872,51094,15,0
2020-07-15,0.69871,0.7037,0.69849,0.70074,40944,15,0
2020-07-16,0.70075,0.7012,0.69626,0.69747,41703,15,0
2020-07-17,0.69748,0.70043,0.6973,0.69956,25523,15,0
2020-07-19,0.69885,0.70033,0.69813,0.70023,1830,15,0
2020-07-20,0.70023,0.70249,0.69722,0.70211,28143,15,0
2020-07-21,0.70213,0.71461,0.70151,0.71375,38988,15,0
2020-07-22,0.71376,0.71821,0.71101,0.71359,49896,15,0
2020-07-23,0.71359,0.7161,0.70898,0.7098,50530,15,0
2020-07-24,0.7098,0.71245,0.7063,0.7103,46695,15,0
2020-07-26,0.70911,0.71071,0.70853,0.7096,3324,15,0
2020-07-27,0.70961,0.71588,0.7096,0.71576,37109,15,0
2020-07-28,0.71577,0.71761,0.71123,0.71578,45324,15,0
2020-07-29,0.71577,0.71961,0.71484,0.71709,42858,15,0
2020-07-30,0.71709,0.72041,0.712,0.72015,47233,15,0
