time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01,7170.0,7237.78,7144.28,7178.98,79506,669,0
2020-01-02,7179.0,7187.27,6900.59,6948.27,81379,611,0
2020-01-03,6948.31,7401.21,6850.08,7335.89,83253,728,0
2020-01-04,7336.26,7392.38,7264.1,7343.15,80050,709,0
2020-01-05,7342.99,7485.26,7306.86,7350.96,81088,617,0
2020-01-06,7351.0,7788.99,7340.7,7748.85,81374,538,0
2020-01-07,7749.01,8194.27,7711.92,8146.92,83745,776,0
2020-01-08,8146.42,8448.21,7859.45,8035.66,84848,354,0
2020-01-09,8035.44,8035.44,7733.96,7802.75,83576,687,0
2020-01-10,7802.62,8182.53,7663.97,8181.07,84253,403,0
2020-01-11,8182.75,8272.11,7990.09,8013.3,83331,791,0
2020-01-12,8011.36,8172.88,7945.13,8168.05,82331,739,0
2020-01-13,8168.53,8184.64,8036.9,8096.74,81984,709,0
2020-01-14,8098.21,8872.1,8093.81,8799.34,85375,723,0
2020-01-15,8796.67,8889.26,8546.28,8800.06,84322,910,0
2020-01-16,8800.22,8842.95,8573.76,8705.9,83391,937,0
2020-01-17,8705.78,9001.67,8653.55,8882.11,83633,946,0
2020-01-18,8881.83,8967.15,8793.63,8896.32,82864,722,0
2020-01-19,8894.03,9167.84,8469.28,8689.14,83801,773,0
2020-01-20,8688.29,8728.74,8502.43,8625.8,82473,860,0
2020-01-21,8625.88,8761.01,8481.61,8717.21,82392,896,0
2020-01-22,8717.41,8784.0,8562.8,8655.92,82128,902,0
2020-01-23,8655.95,8660.09,8273.11,8376.04,83407,958,0
2020-01-24,8376.4,8506.71,8213.03,8419.59,83015,867,0
2020-01-25,8419.69,8429.32,8254.15,8319.22,81884,1041,0
2020-01-26,8319.46,8594.28,8271.58,8593.46,82152,925,0
2020-01-27,8593.78,8987.03,8549.48,8889.69,83471,856,0
2020-01-28,8889.72,9404.71,8877.07,9378.7,84187,707,0
2020-01-29,9378.89,9424.98,9217.2,9281.62,83474,748,0
2020-01-30,9282.48,9555.35,9178.11,9495.76,83861,732,0
2020-01-31,9496.21,9512.53,9191.29,9331.77,83494,683,0
2020-02-01,9331.91,9449.82,9280.39,9373.55,82766,629,0
2020-02-02,9373.54,9466.26,9125.43,9320.36,82911,505,0
2020-02-03,9322.05,9594.06,9215.86,9274.25,83599,562,0
2020-02-04,9274.62,9338.71,9071.52,9162.91,83174,795,0
2020-02-05,9163.16,9746.82,9141.62,9600.42,83582,909,0
2020-02-06,9600.32,9846.4,9515.47,9744.62,83860,955,0
2020-02-07,9744.43,9857.82,9693.75,9795.36,83117,1068,0
2020-02-08,9795.7,9931.73,9641.04,9881.78,82902,595,0
2020-02-09,9881.52,10159.76,9866.72,10146.19,81869,823,0
2020-02-10,10146.24,10178.73,9728.16,9840.72,83883,748,0
2020-02-11,9840.79,10360.07,9701.49,10251.92,82158,980,0
2020-02-12,10251.84,10452.48,10237.79,10335.39,83698,996,0
2020-02-13,10335.49,10483.92,10068.81,10222.82,84904,796,0
2020-02-14,10222.73,10371.89,10098.54,10347.18,83321,792,0
2020-02-15,10347.19,10370.77,9757.18,9897.09,83683,728,0
2020-02-16,9897.27,10035.1,9611.45,9914.43,84729,812,0
2020-02-17,9911.35,9960.82,9467.72,9700.45,85603,906,0
2020-02-18,9700.77,10270.79,9605.78,10178.64,84849,859,0
2020-02-19,10179.24,10290.39,9292.78,9580.39,84929,1121,0
2020-02-20,9578.08,9682.72,9386.08,9599.34,85074,1112,0
2020-02-21,9599.63,9760.0,9563.3,9689.68,84432,1016,0
2020-02-22,9689.77,9716.35,9540.69,9658.31,83892,1274,0
2020-02-23,9658.55,10004.14,9653.2,9962.54,84517,1048,0
2020-02-24,9962.21,10021.47,9474.74,9655.47,85780,965,0
2020-02-25,9655.9,9673.95,9226.65,9302.84,85343,935,0
2020-02-26,9303.12,9365.85,8637.2,8775.22,86818,1054,0
2020-02-27,8776.68,8965.02,8527.6,8812.67,86125,820,0
2020-02-28,8812.87,8897.44,8434.99,8705.27,86127,770,0
2020-02-29,8703.6,8800.33,8520.74,8524.32,84689,1103,0
2020-03-01,8524.59,8750.12,8394.34,8523.44,85337,861,0
2020-03-02,8524.85,8973.65,8494.84,8915.58,84920,789,0
2020-03-03,8916.57,8924.89,8657.91,8759.26,85223,816,0
2020-03-04,8759.39,8849.37,8674.5,8761.82,84059,801,0
2020-03-05,8761.92,9169.1,8761.05,9063.51,84932,868,0
2020-03-06,9063.88,9178.84,8992.81,9155.21,83998,960,0
2020-03-07,9154.96,9211.7,8854.99,8894.65,83720,974,0
2020-03-08,8894.44,8894.44,7982.94,8039.63,84766,793,0
2020-03-09,8038.96,8179.94,7626.97,7933.86,89986,485,0
2020-03-10,7934.31,8156.39,7735.04,7894.81,87133,841,0
2020-03-11,7894.83,7986.64,7587.74,7938.9,86573,529,0
2020-03-12,7938.84,7970.29,4675.58,4862.26,112494,15,0
2020-03-13,4865.77,5973.58,3900.68,5620.7,118873,7,0
2020-03-14,5620.06,5654.69,5047.55,5161.84,99024,123,0
2020-03-15,5162.54,5961.3,5092.1,5354.65,98731,117,0
2020-03-16,5354.72,5358.87,4438.45,5039.43,111092,36,0
2020-03-17,5038.9,5557.44,4938.91,5329.94,101254,270,0
2020-03-18,5330.39,5449.54,5019.35,5409.64,99131,70,0
2020-03-19,5410.2,6414.07,5264.69,6176.39,98270,272,0
2020-03-20,6176.9,6929.83,5667.51,6200.68,104669,210,0
2020-03-21,6202.11,6447.78,5861.92,6184.0,99141,427,0
2020-03-22,6185.41,6404.44,5729.62,5807.86,97419,378,0
