time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01,128.42,132.37,127.84,130.07,43677,53,0
2020-01-02,130.07,130.07,125.69,126.64,47164,48,0
2020-01-03,126.65,134.56,125.25,133.98,50936,51,0
2020-01-04,133.99,135.44,132.13,133.79,40615,50,0
2020-01-05,133.79,137.93,133.75,134.92,46216,56,0
2020-01-06,134.94,143.92,134.35,143.73,50725,58,0
2020-01-07,143.73,144.57,138.42,142.54,53063,62,0
2020-01-08,142.54,147.37,136.62,140.17,55736,57,0
2020-01-09,140.18,140.89,134.79,137.25,49915,61,0
2020-01-10,137.26,144.59,134.77,144.16,52742,59,0
2020-01-11,144.18,147.29,141.57,141.91,54008,62,0
2020-01-12,141.92,145.83,141.26,145.82,47960,55,0
2020-01-13,145.84,146.39,141.7,143.12,39397,50,0
2020-01-14,143.12,169.69,143.01,164.86,61897,52,0
2020-01-15,164.61,170.98,158.29,165.64,67070,75,0
2020-01-16,165.65,166.77,157.5,163.56,62510,72,0
2020-01-17,163.57,173.71,161.28,168.83,65029,70,0
2020-01-18,168.83,178.72,164.25,173.34,67964,78,0
2020-01-19,173.37,177.32,160.89,166.16,65262,73,0
2020-01-20,166.16,168.79,160.51,166.17,57241,68,0
2020-01-21,166.18,169.41,164.12,168.7,57434,70,0
2020-01-22,168.71,170.6,165.13,167.17,58169,67,0
2020-01-23,167.18,167.34,158.04,162.08,61903,68,0
2020-01-24,162.08,163.8,154.73,161.82,63031,65,0
2020-01-25,161.82,161.98,156.98,159.68,58682,65,0
2020-01-26,159.68,167.35,158.64,167.21,59144,63,0
2020-01-27,167.22,171.29,164.44,169.37,58775,69,0
2020-01-28,169.37,175.9,169.35,175.33,62970,73,0
2020-01-29,175.38,178.03,172.55,172.94,61491,69,0
2020-01-30,172.93,186.07,169.9,183.81,64002,74,0
2020-01-31,183.82,184.89,174.61,179.46,62892,74,0
2020-02-01,179.46,183.58,178.71,183.1,63595,73,0
2020-02-02,183.1,192.77,178.29,187.72,66316,84,0
2020-02-03,187.75,194.59,185.91,189.02,65412,85,0
2020-02-04,189.0,190.86,183.69,187.92,64077,79,0
2020-02-05,187.92,206.93,187.09,203.04,65462,83,0
2020-02-06,203.0,215.3,199.76,212.14,69172,104,0
2020-02-07,212.13,223.34,212.1,222.3,68218,81,0
2020-02-08,222.29,227.24,212.41,222.24,70111,97,0
2020-02-09,222.24,229.52,222.05,227.79,68191,88,0
2020-02-10,227.81,228.59,215.55,222.13,69796,90,0
2020-02-11,222.14,238.58,215.49,236.86,61774,96,0
2020-02-12,236.83,274.23,236.66,264.93,74003,126,0
2020-02-13,264.99,276.26,252.39,267.45,75509,131,0
2020-02-14,267.52,286.0,259.03,284.3,73815,114,0
2020-02-15,284.29,287.31,259.1,263.52,75736,125,0
2020-02-16,263.49,272.75,233.16,257.54,76783,141,0
2020-02-17,257.4,267.61,241.69,267.09,75931,128,0
2020-02-18,267.1,285.38,258.11,282.22,75703,141,0
2020-02-19,282.19,285.82,249.47,257.12,75232,141,0
2020-02-20,257.16,263.15,244.33,256.2,74586,141,0
2020-02-21,256.22,267.52,252.87,264.6,72355,134,0
2020-02-22,264.65,265.96,255.14,260.72,73436,149,0
2020-02-23,260.74,275.39,260.22,274.18,72811,148,0
2020-02-24,274.26,276.87,255.18,264.53,73236,153,0
2020-02-25,264.54,265.22,243.61,245.74,74078,147,0
2020-02-26,245.76,249.13,214.47,222.87,74367,123,0
2020-02-27,222.91,237.3,208.87,226.94,73123,111,0
2020-02-28,226.94,233.66,212.86,226.68,72327,120,0
2020-02-29,226.68,232.31,216.49,216.78,70879,108,0
2020-03-01,216.73,227.21,211.34,216.75,72344,107,0
2020-03-02,216.68,233.72,215.1,231.42,69222,100,0
2020-03-03,231.42,232.12,219.47,223.31,66854,106,0
2020-03-04,223.27,228.26,219.87,223.89,62145,96,0
2020-03-05,223.9,233.7,223.82,228.03,65167,114,0
2020-03-06,228.03,244.96,226.77,244.65,65569,120,0
2020-03-07,244.66,251.9,235.86,236.87,66296,114,0
2020-03-08,236.86,237.0,195.23,198.69,66427,103,0
2020-03-09,198.77,207.97,189.17,202.27,73852,108,0
2020-03-10,202.28,205.72,193.96,200.2,69306,84,0
2020-03-11,200.19,202.52,180.9,194.29,69134,82,0
