time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,1.12179,1.12241,1.11632,1.11704,19945,10,0
2020-01-03,1.11704,1.11793,1.11246,1.11571,22601,10,0
2020-01-05,1.11616,1.11661,1.11562,1.11597,799,25,0
2020-01-06,1.116,1.1205,1.11568,1.1195,18722,10,0
2020-01-07,1.1195,1.11966,1.11332,1.11524,22489,10,0
2020-01-08,1.11533,1.11677,1.11014,1.11124,26928,10,0
2020-01-09,1.11125,1.112,1.10925,1.11086,19122,10,0
2020-01-10,1.11088,1.11286,1.10848,1.1118999999999999,18258,10,0
2020-01-12,1.11145,1.11175,1.1112,1.11158,492,10,0
2020-01-13,1.11158,1.11464,1.11122,1.11342,16252,10,0
2020-01-14,1.11341,1.1144,1.11038,1.11272,18823,10,0
2020-01-15,1.11272,1.11628,1.11182,1.11519,17043,10,0
2020-01-16,1.1152,1.11719,1.11276,1.11366,17582,10,0
2020-01-17,1.11366,1.11421,1.10859,1.10892,16155,10,0
2020-01-19,1.10896,1.1094,1.10869,1.1094,587,10,0
2020-01-20,1.10941,1.11018,1.10764,1.10958,11400,10,0
2020-01-21,1.10958,1.11174,1.10785,1.10847,17234,10,0
2020-01-22,1.10847,1.10978,1.10697,1.10952,16970,10,0
2020-01-23,1.10953,1.11081,1.1036,1.10538,21180,10,0
2020-01-24,1.10545,1.10608,1.10194,1.10225,17440,10,0
2020-01-26,1.10279,1.10332,1.10235,1.10238,1285,10,0
2020-01-27,1.1024,1.10371,1.10093,1.1019,15435,10,0
2020-01-28,1.1019,1.10246,1.09976,1.10217,14173,10,0
2020-01-29,1.10217,1.10272,1.0992,1.10134,15203,10,0
2020-01-30,1.10133,1.10387,1.10065,1.10284,16497,10,0
2020-01-31,1.10283,1.10948,1.10165,1.10946,17564,10,0
2020-02-02,1.10895,1.10901,1.108,1.10887,944,10,0
2020-02-03,1.10887,1.10887,1.10357,1.10618,17303,10,0
2020-02-04,1.10619,1.10636,1.10325,1.10443,16089,10,0
2020-02-05,1.10443,1.10473,1.09932,1.09998,16218,10,0
2020-02-06,1.09999,1.10133,1.09641,1.09804,14949,10,0
2020-02-07,1.09804,1.09845,1.09416,1.09443,17777,10,0
2020-02-09,1.09398,1.09498,1.09397,1.09488,569,10,0
2020-02-10,1.09488,1.0957,1.09073,1.09098,14163,10,0
