time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,0.67326,0.67363,0.66837,0.66976,16599,20,0
2020-01-03,0.66975,0.66979,0.66433,0.66626,18671,20,0
2020-01-05,0.66531,0.66565,0.66496,0.66528,1081,20,0
2020-01-06,0.6653,0.66792,0.66436,0.66674,16123,20,0
2020-01-07,0.66675,0.66783,0.66243,0.66289,16968,20,0
2020-01-08,0.66293,0.66713,0.66167,0.66521,21148,20,0
2020-01-09,0.66525,0.66573,0.65992,0.66057,15382,20,0
2020-01-10,0.66059,0.66441,0.66009,0.66335,15036,20,0
2020-01-12,0.66355,0.66382,0.66324,0.66359,864,20,0
2020-01-13,0.66359,0.6652,0.66196,0.66237,15476,20,0
2020-01-14,0.66237,0.6633,0.66025,0.66057,15760,20,0
2020-01-15,0.66057,0.66197,0.65832,0.66172,14372,20,0
2020-01-16,0.66177,0.66643,0.66175,0.66362,15974,20,0
2020-01-17,0.66362,0.66494,0.66063,0.66097,13102,20,0
2020-01-19,0.66114,0.66184,0.66073,0.66174,939,20,0
2020-01-20,0.66174,0.66234,0.65913,0.66056,11378,20,0
2020-01-21,0.66057,0.66139,0.6587,0.6594,15489,20,0
2020-01-22,0.65941,0.66096,0.65808,0.65939,13698,20,0
2020-01-23,0.65938,0.66212,0.65802,0.6613,16523,20,0
2020-01-24,0.66151,0.66283,0.65983,0.66059,12987,20,0
2020-01-26,0.6582,0.65948,0.65692,0.65717,1435,20,0
2020-01-27,0.65719,0.65891,0.65401,0.65438,12091,20,0
2020-01-28,0.65438,0.65493,0.65202,0.65384,12205,20,0
2020-01-29,0.65384,0.65421,0.65055,0.65255,12623,20,0
2020-01-30,0.6526,0.65277,0.64794,0.64824,13833,20,0
2020-01-31,0.64825,0.64939,0.64531,0.6463,13037,20,0
2020-02-02,0.64669,0.64672,0.64548,0.64571,1204,20,0
2020-02-03,0.6457,0.6476,0.6452,0.64591,14207,20,0
2020-02-04,0.6459,0.64986,0.64487,0.64909,15017,20,0
2020-02-05,0.64911,0.65019,0.64683,0.64799,14655,20,0
2020-02-06,0.648,0.64831,0.64533,0.64586,12763,20,0
2020-02-07,0.64587,0.6459,0.63972,0.64012,12970,20,0
2020-02-09,0.6401,0.64063,0.63957,0.63969,1231,20,0
2020-02-10,0.6397,0.64164,0.63799,0.63865,13519,20,0
