time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01,28580.1,28615.9,28563.2,28595.4,938,88,0
2020-01-02,28595.0,28907.1,28587.0,28891.6,27548,73,0
2020-01-03,28897.5,28914.3,28456.8,28627.8,41215,74,0
2020-01-05,28518.6,28530.2,28469.0,28526.7,1675,81,0
2020-01-06,28518.9,28728.2,28378.9,28653.7,35621,72,0
2020-01-07,28656.5,28766.7,28241.5,28299.3,37463,72,0
2020-01-08,28209.3,28867.5,28119.9,28811.4,47611,73,0
2020-01-09,28820.3,28987.2,28778.5,28979.9,32051,73,0
2020-01-10,28983.8,29055.9,28787.7,28805.0,28754,72,0
2020-01-12,28822.6,28871.9,28822.1,28845.7,878,95,0
2020-01-13,28851.3,28951.7,28816.8,28947.8,28115,73,0
2020-01-14,28961.8,29051.8,28775.7,28892.5,33789,74,0
2020-01-15,28907.6,29128.8,28878.0,29093.7,33286,75,0
2020-01-16,29093.2,29351.3,29072.6,29323.7,26234,73,0
2020-01-17,29319.7,29398.7,29292.2,29312.0,26563,74,0
2020-01-19,29314.0,29348.1,29304.0,29348.1,742,96,0
2020-01-20,29353.4,29359.5,29271.9,29324.0,12415,74,0
2020-01-21,29324.9,29341.8,29152.6,29217.7,33125,74,0
2020-01-22,29227.7,29354.0,29114.9,29123.9,32649,75,0
2020-01-23,29125.6,29223.5,28966.3,29206.0,34787,75,0
2020-01-24,29207.1,29283.6,28841.0,28949.9,32488,75,0
2020-01-26,28757.1,28757.5,28652.2,28697.6,2061,95,0
2020-01-27,28719.2,28776.8,28453.7,28596.3,39248,77,0
2020-01-28,28600.1,28829.3,28555.6,28736.8,32732,75,0
2020-01-29,28734.4,28937.5,28705.0,28766.1,31076,65,0
2020-01-30,28760.7,28891.3,28484.1,28851.1,42379,68,0
2020-01-31,28831.0,28930.7,28158.1,28277.8,42019,68,0
2020-02-02,28320.5,28345.3,28262.6,28318.9,1720,78,0
2020-02-03,28326.9,28629.2,28308.0,28396.1,40224,67,0
2020-02-04,28445.6,28905.6,28422.4,28796.5,32659,68,0
2020-02-05,28816.8,29332.9,28752.6,29290.0,36129,68,0
2020-02-06,29286.9,29528.1,29243.8,29398.9,32299,68,0
2020-02-07,29387.3,29392.9,29051.0,29077.0,32843,68,0
2020-02-09,29060.3,29118.9,28892.7,28959.0,1966,81,0
2020-02-10,28966.6,29293.2,28957.2,29276.1,30689,68,0
2020-02-11,29269.1,29438.9,29208.2,29302.9,25273,70,0
2020-02-12,29302.9,29581.8,29255.4,29433.0,23581,67,0
2020-02-13,29435.8,29526.9,29261.2,29405.5,31055,68,0
2020-02-14,29406.5,29525.9,29278.2,29413.4,23993,68,0
2020-02-16,29462.0,29471.2,29450.6,29460.0,524,83,0
2020-02-17,29455.9,29490.2,29344.3,29371.1,9768,67,0
2020-02-18,29371.6,29371.6,29117.2,29301.3,26696,67,0
2020-02-19,29304.2,29410.6,29251.6,29395.9,20638,68,0
2020-02-20,29396.6,29447.1,28948.8,29079.2,33097,70,0
2020-02-21,29087.5,29168.5,28890.2,28991.5,36495,69,0
2020-02-23,28705.7,28717.6,28590.3,28654.3,1978,87,0
2020-02-24,28656.3,28684.0,27871.3,28068.5,52525,72,0
2020-02-25,28062.6,28244.5,26992.1,27281.5,61530,73,0
2020-02-26,27283.4,27533.4,26711.0,26869.2,78295,71,0
2020-02-27,26870.4,26905.8,25382.8,25642.7,89220,75,0
2020-02-28,25650.2,25767.4,24674.3,25674.9,106585,75,0
2020-03-01,24955.6,25148.7,24914.4,25089.8,3011,92,0
2020-03-02,25095.8,26714.5,25012.5,26656.8,103156,74,0
2020-03-03,26658.7,27067.2,25693.2,25831.2,98394,78,0
2020-03-04,25842.4,27085.2,25829.8,26922.4,71879,74,0
2020-03-05,26907.1,26925.6,25933.3,26199.0,71468,75,0
2020-03-06,26199.6,26298.3,25210.8,25783.1,91567,75,0
2020-03-08,24941.3,24999.4,24658.5,24688.0,5550,85,0
2020-03-09,24684.8,24799.0,23442.4,24322.0,58390,77,0
2020-03-10,24351.5,25032.9,23662.7,24543.1,99145,75,0
2020-03-11,24543.6,24672.1,23308.0,23513.2,93091,82,0
2020-03-12,23522.5,23589.1,20609.7,20821.3,89711,84,0
2020-03-13,20822.2,23133.7,20384.2,22822.4,77105,81,0
2020-03-15,22213.7,22302.9,21949.7,21949.7,933,86,0
2020-03-16,21483.3,21778.3,20147.7,20710.6,43138,80,0
2020-03-17,20711.3,21386.9,19899.7,20403.5,88419,87,0
2020-03-18,20402.0,20718.3,18902.3,20359.9,64145,79,0
2020-03-19,20364.4,20470.6,18964.4,19755.7,96173,92,0
2020-03-20,19745.6,21001.7,18947.8,18991.3,101967,80,0
2020-03-22,18364.2,18460.5,18189.4,18323.0,1807,74,0
2020-03-23,18320.4,19920.5,18207.6,18856.0,108065,80,0
2020-03-24,18864.8,21049.4,18758.6,20620.4,95708,73,0
2020-03-25,20611.0,22001.6,20393.8,21218.2,107714,81,0
2020-03-26,21204.7,22633.5,20631.0,22614.8,101710,87,0
2020-03-27,22610.2,22638.3,21436.5,21538.5,95248,73,0
2020-03-29,21053.8,21355.4,21049.2,21252.2,6652,83,0
2020-03-30,21256.2,22369.2,21192.6,22323.5,82583,72,0
2020-03-31,22335.7,22506.7,21595.4,21612.3,79571,71,0
2020-04-01,21611.8,21688.8,20774.3,21068.9,77005,69,0
2020-04-02,21065.0,21480.5,20618.8,21276.6,78292,69,0
2020-04-03,21264.9,21442.1,20855.9,21049.6,67626,68,0
2020-04-05,21289.4,21374.5,21250.1,21350.3,4120,81,0
2020-04-06,21354.2,22779.9,21341.9,22747.3,66513,63,0
2020-04-07,22718.3,23591.7,22420.9,22656.8,91020,74,0
2020-04-08,22668.9,23545.1,22373.7,23521.4,81547,69,0
2020-04-09,23502.0,24011.1,23150.2,23771.8,79590,74,0
2020-04-12,23937.1,23951.5,23232.3,23450.3,6003,89,0
2020-04-13,23454.9,23734.2,23096.0,23503.0,57212,70,0
2020-04-14,23497.5,24062.1,23374.3,23952.3,58724,67,0
2020-04-15,23952.1,23953.0,23206.6,23316.0,66860,69,0
2020-04-16,23314.2,24421.6,23182.8,24259.9,92858,69,0
2020-04-17,24262.4,24403.9,23803.8,24244.1,78794,62,0
2020-04-19,24170.4,24173.8,24003.6,24084.1,4451,74,0
2020-04-20,24085.0,24303.4,23549.2,23666.6,83019,65,0
2020-04-21,23665.0,23788.4,22930.6,23127.7,104577,69,0
2020-04-22,23134.6,23607.4,22925.9,23392.9,83301,62,0
2020-04-23,23395.7,23874.8,23339.5,23390.1,83147,64,0
2020-04-24,23388.4,23822.8,23264.5,23767.3,66408,61,0
2020-04-26,23811.0,23859.4,23646.1,23715.9,4284,78,0
2020-04-27,23718.6,24209.8,23672.9,24116.5,56188,61,0
2020-04-28,24118.1,24545.6,23990.5,24164.7,70393,64,0
2020-04-29,24165.6,24792.6,24158.1,24704.9,68815,62,0
2020-04-30,24700.0,24904.1,24187.6,24242.8,71932,66,0
2020-05-03,23475.3,23510.9,23334.1,23378.9,4907,77,0
2020-05-04,23380.7,23776.4,23324.0,23762.9,64329,60,0
2020-05-05,23763.9,24176.5,23763.9,23937.9,59596,60,0
2020-05-06,23938.8,24111.9,23530.2,23605.1,65099,62,0
2020-05-07,23604.5,24100.4,23604.5,24042.8,58069,62,0
2020-05-08,24047.7,24423.3,24042.1,24397.3,46201,60,0
2020-05-10,24274.8,24489.5,24274.8,24482.9,2977,78,0
2020-05-11,24482.9,24567.7,24074.3,24180.7,52770,59,0
2020-05-12,24182.0,24388.0,23486.3,23509.1,63154,61,0
2020-05-13,23509.9,23874.2,23079.0,23311.5,78324,64,0
2020-05-14,23311.5,23704.9,22799.8,23699.0,88302,64,0
2020-05-15,23698.2,23761.5,23331.1,23658.7,77845,64,0
2020-05-17,23648.5,23829.9,23618.5,23788.4,3926,76,0
2020-05-18,23789.0,24713.7,23761.8,24634.7,59647,62,0
2020-05-19,24634.1,24840.5,24149.6,24280.3,73280,60,0
2020-05-20,24281.9,24654.5,24279.4,24547.6,57253,61,0
2020-05-21,24546.6,24721.7,24362.6,24539.2,59714,63,0
2020-05-22,24541.0,24561.4,24159.7,24522.3,58228,60,0
2020-05-24,24468.4,24620.1,24464.2,24601.1,2777,71,0
2020-05-25,24602.1,24791.1,24491.8,24700.3,26093,59,0
2020-05-26,24701.3,25184.0,24680.6,25029.2,51438,61,0
2020-05-27,25030.0,25703.8,24971.7,25703.8,63058,65,0
2020-05-28,25701.1,25844.6,25365.3,25375.0,69157,64,0
2020-05-29,25375.9,25494.1,25030.5,25374.3,73376,65,0
2020-05-31,25227.2,25289.8,25191.0,25281.0,3071,74,0
2020-06-01,25279.4,25553.9,25228.4,25362.9,58696,62,0
2020-06-02,25361.5,25841.0,25345.1,25833.7,48168,63,0
2020-06-03,25834.2,26367.8,25787.7,26337.6,48909,64,0
2020-06-04,26339.0,26390.1,26080.1,26254.3,58045,66,0
2020-06-05,26255.0,27342.9,26230.7,27095.4,63536,70,0
2020-06-07,27243.0,27312.9,27225.9,27281.5,1875,79,0
2020-06-08,27282.8,27576.6,27049.2,27547.9,56003,65,0
2020-06-09,27547.3,27628.4,27137.8,27361.2,59329,65,0
2020-06-10,27361.4,27497.0,26732.7,26758.7,70414,68,0
2020-06-11,26760.5,26894.7,25073.9,25359.4,103793,70,0
2020-06-12,25360.0,25948.2,25072.9,25591.4,97103,81,0
2020-06-14,25210.7,25302.8,25132.7,25199.0,3799,84,0
2020-06-15,25201.2,26061.8,24540.7,26054.4,93850,77,0
2020-06-16,26052.3,26791.0,25793.7,26381.7,90639,77,0
2020-06-17,26380.9,26625.5,25998.2,26008.9,71191,73,0
2020-06-18,26011.2,26279.4,25750.9,26203.4,77697,68,0
2020-06-19,26202.2,26444.2,25752.2,25859.9,68640,72,0
2020-06-21,25519.6,25605.2,25468.8,25591.8,4401,79,0
2020-06-22,25594.4,26226.7,25543.9,26192.7,61227,69,0
2020-06-23,26190.5,26420.5,25638.6,26097.6,68214,70,0
2020-06-24,26098.6,26254.3,25288.6,25423.1,76552,74,0
2020-06-25,25425.5,25763.8,25131.5,25668.8,83404,72,0
2020-06-26,25668.2,25774.3,24966.1,25025.2,68472,71,0
2020-06-28,24944.8,25050.2,24915.7,25010.8,2521,81,0
2020-06-29,25014.9,25734.5,24956.2,25678.8,65208,68,0
2020-06-30,25675.7,25901.6,25430.1,25735.2,58053,68,0
2020-07-01,25734.0,26021.1,25511.2,25699.0,52723,69,0
2020-07-02,25697.3,26203.7,25634.2,25860.7,52617,68,0
2020-07-03,25860.5,25993.4,25556.0,25747.0,26873,71,0
2020-07-05,25887.1,25963.6,25881.6,25943.3,1656,78,0
2020-07-06,25944.3,26356.6,25937.7,26335.0,50544,65,0
2020-07-07,26333.6,26397.6,25861.4,25940.1,50698,67,0
2020-07-08,25937.7,26135.3,25780.4,26111.2,54512,67,0
2020-07-09,26114.1,26135.4,25515.9,25790.0,56345,69,0
2020-07-10,25794.3,26097.3,25413.3,26070.2,57597,66,0
2020-07-12,26256.2,26262.0,26168.0,26174.4,2452,75,0
2020-07-13,26173.5,26642.6,26043.6,26155.8,56829,69,0
2020-07-14,26154.9,26929.9,25991.8,26879.6,77444,71,0
2020-07-15,26881.2,27179.5,26690.8,26879.8,62470,70,0
2020-07-16,26878.4,26892.2,26583.7,26735.1,56346,69,0
2020-07-17,26734.4,26832.7,26614.5,26668.4,37788,67,0
2020-07-19,26674.6,26711.8,26653.9,26701.6,1375,73,0
2020-07-20,26703.0,26764.0,26437.0,26718.0,42940,65,0
2020-07-21,26719.6,27025.9,26705.0,26895.4,43068,67,0
2020-07-22,26897.7,27039.3,26632.4,26944.1,44114,67,0
2020-07-23,26945.1,27166.5,26553.7,26656.7,52969,69,0
2020-07-24,26655.8,26718.6,26397.9,26472.5,53995,69,0
2020-07-26,26413.2,26445.9,26341.6,26409.3,3498,77,0
