time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,1.29765,1.30072,1.29678,1.29834,15840,22,0
2020-01-03,1.29834,1.3004,1.29602,1.30022,18983,22,0
2020-01-05,1.29866,1.29881,1.2983799999999999,1.29879,616,23,0
2020-01-06,1.29883,1.29886,1.29583,1.29631,15621,22,0
2020-01-07,1.29631,1.30285,1.29561,1.30002,16322,22,0
2020-01-08,1.30002,1.30427,1.29756,1.30352,21179,22,0
2020-01-09,1.30353,1.31036,1.30253,1.30615,17401,22,0
2020-01-10,1.30618,1.30746,1.30282,1.30514,15702,22,0
2020-01-12,1.30515,1.30654,1.30515,1.30654,535,23,0
2020-01-13,1.30659,1.30667,1.30311,1.30551,14147,22,0
2020-01-14,1.30554,1.30785,1.30461,1.30656,15271,22,0
2020-01-15,1.30656,1.30771,1.30342,1.3039399999999999,14780,22,0
2020-01-16,1.3039399999999999,1.30552,1.30314,1.30405,13830,22,0
2020-01-17,1.30405,1.30741,1.3033000000000001,1.30652,13421,22,0
2020-01-19,1.3057699999999999,1.30657,1.3057699999999999,1.30637,523,22,0
2020-01-20,1.3063799999999999,1.30714,1.3042099999999999,1.30447,9526,22,0
2020-01-21,1.3044799999999999,1.30789,1.30439,1.30731,14892,22,0
2020-01-22,1.30731,1.31515,1.30356,1.3140100000000001,17851,22,0
2020-01-23,1.31409,1.3170600000000001,1.31232,1.31268,16202,22,0
2020-01-24,1.31268,1.31517,1.31166,1.31474,14361,22,0
2020-01-26,1.3152300000000001,1.31604,1.31482,1.31603,784,23,0
2020-01-27,1.31607,1.31985,1.31471,1.31871,15576,22,0
2020-01-28,1.31871,1.32046,1.31531,1.31633,13242,22,0
2020-01-29,1.31633,1.32086,1.31578,1.31973,12865,22,0
2020-01-30,1.31974,1.32256,1.3189600000000001,1.32108,15743,22,0
2020-01-31,1.32112,1.32521,1.31946,1.32328,17032,22,0
2020-02-02,1.32364,1.3243,1.32355,1.32402,523,23,0
2020-02-03,1.32406,1.33026,1.32312,1.32939,16959,22,0
2020-02-04,1.32945,1.33007,1.3263,1.32819,15085,22,0
2020-02-05,1.32822,1.33017,1.3262,1.3284500000000001,16789,22,0
2020-02-06,1.3285,1.33079,1.32695,1.32859,14128,22,0
2020-02-07,1.32863,1.33195,1.32782,1.33048,15723,22,0
2020-02-09,1.33026,1.3309,1.33019,1.3309,608,23,0
2020-02-10,1.33101,1.33282,1.32876,1.33169,14721,22,0
2020-02-11,1.3317,1.33189,1.32756,1.32893,13380,22,0
2020-02-12,1.32897,1.32946,1.32349,1.32555,13702,22,0
2020-02-13,1.32555,1.32705,1.32395,1.32651,15284,22,0
2020-02-14,1.32651,1.32681,1.32349,1.32504,11381,22,0
2020-02-16,1.32497,1.325,1.32435,1.32443,396,24,0
2020-02-17,1.32442,1.32493,1.32243,1.3235999999999999,7931,22,0
2020-02-18,1.32364,1.32773,1.32336,1.32534,13630,22,0
2020-02-19,1.32534,1.32551,1.32144,1.32203,12681,22,0
