time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,0.96822,0.97321,0.96765,0.97137,15262,15,0
2020-01-03,0.9714,0.9743,0.96875,0.97224,17565,15,0
2020-01-05,0.97085,0.97137,0.97051,0.97137,895,31,0
2020-01-06,0.97151,0.9716,0.96758,0.96843,16414,15,0
2020-01-07,0.9685,0.97289,0.96827,0.96863,18361,15,0
2020-01-08,0.96871,0.9739,0.96647,0.97319,25658,15,0
2020-01-09,0.97324,0.97473,0.97107,0.97307,16764,15,0
2020-01-10,0.97312,0.97614,0.97194,0.97281,13439,15,0
2020-01-12,0.97264,0.97345,0.97242,0.97306,636,26,0
2020-01-13,0.97314,0.97353,0.96937,0.97081,12863,15,0
2020-01-14,0.97088,0.97126,0.96649,0.96702,16799,15,0
2020-01-15,0.96707,0.96795,0.96298,0.96362,15125,15,0
2020-01-16,0.96368,0.96516,0.96125,0.96488,14215,15,0
2020-01-17,0.96493,0.9695,0.96448,0.96773,13693,15,0
2020-01-19,0.96755,0.96814,0.96753,0.96808,616,26,0
2020-01-20,0.96813,0.96987,0.96755,0.96831,10304,15,0
2020-01-21,0.96837,0.96895,0.96608,0.96873,14041,15,0
2020-01-22,0.96879,0.97277,0.96728,0.96731,15158,15,0
2020-01-23,0.96735,0.97028,0.96682,0.9695,16106,15,0
2020-01-24,0.96955,0.97174,0.96913,0.97108,13255,15,0
2020-01-26,0.97026,0.97051,0.96898,0.96995,1146,26,0
2020-01-27,0.97005,0.97186,0.96813,0.9698,14423,15,0
2020-01-28,0.96984,0.97407,0.96782,0.97282,12096,15,0
2020-01-29,0.97287,0.97659,0.97259,0.97311,13169,15,0
2020-01-30,0.97317,0.97323,0.96793,0.96937,16473,15,0
2020-01-31,0.96944,0.97123,0.96287,0.96332,16498,15,0
2020-02-02,0.96347,0.96361,0.96284,0.96326,754,26,0
2020-02-03,0.96336,0.96713,0.96293,0.96572,17317,15,0
2020-02-04,0.96578,0.97035,0.96561,0.96918,14887,15,0
2020-02-05,0.96924,0.9747,0.96775,0.97332,16509,15,0
2020-02-06,0.97338,0.97557,0.97305,0.97457,14543,15,0
2020-02-07,0.97462,0.97805,0.97391,0.9775,16533,15,0
2020-02-09,0.97676,0.97757,0.97615,0.97652,910,26,0
2020-02-10,0.97657,0.97829,0.97632,0.9773,16301,15,0
2020-02-11,0.97735,0.9788,0.97503,0.97564,15071,15,0
2020-02-12,0.9757,0.97849,0.97404,0.97756,15713,15,0
2020-02-13,0.97763,0.9795,0.97602,0.97892,15997,15,0
2020-02-14,0.97899,0.98215,0.97899,0.98205,12245,15,0
2020-02-16,0.9814,0.98194,0.9814,0.98161,483,26,0
2020-02-17,0.98167,0.98262,0.98038,0.98063,8665,15,0
2020-02-18,0.98069,0.98385,0.9796,0.98309,13874,15,0
2020-02-19,0.98315,0.98439,0.98257,0.98356,13360,15,0
2020-02-20,0.98361,0.98478,0.98147,0.98369,18499,15,0
2020-02-21,0.98375,0.98397,0.97703,0.97823,16439,15,0
2020-02-23,0.97954,0.97955,0.97817,0.97878,968,26,0
2020-02-24,0.97884,0.98149,0.97644,0.97971,22648,15,0
2020-02-25,0.97988,0.98041,0.97506,0.97596,24216,15,0
2020-02-26,0.97606,0.97779,0.97282,0.9763,26257,15,0
2020-02-27,0.97644,0.97647,0.96744,0.96872,28891,15,0
2020-02-28,0.96876,0.9695,0.96096,0.96529,36771,15,0
