time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,108.696,108.859,108.208,108.529,16766,11,0
2020-01-03,108.534,108.558,107.84,108.094,28906,11,0
2020-01-05,107.876,107.949,107.754,107.943,2929,20,0
2020-01-06,107.954,108.501,107.912,108.397,24002,11,0
2020-01-07,108.403,108.623,107.821,107.984,25680,11,0
2020-01-08,107.988,109.237,107.647,109.026,40847,11,0
2020-01-09,109.03,109.574,109.027,109.486,23150,11,0
2020-01-10,109.488,109.681,109.432,109.476,16177,11,0
2020-01-12,109.514,109.576,109.489,109.537,2699,20,0
2020-01-13,109.543,109.984,109.53,109.984,14268,11,0
2020-01-14,109.995,110.205,109.797,109.842,23069,11,0
2020-01-15,109.845,109.995,109.785,109.869,18884,11,0
2020-01-16,109.874,110.214,109.871,110.169,15630,11,0
2020-01-17,110.172,110.282,110.046,110.13,14412,11,0
2020-01-19,110.075,110.18,110.075,110.178,1217,20,0
2020-01-20,110.18,110.212,110.111,110.165,10509,11,0
2020-01-21,110.168,110.216,109.756,109.903,21777,11,0
2020-01-22,109.905,110.09,109.661,109.727,18091,11,0
2020-01-23,109.727,109.759,109.263,109.549,22113,11,0
2020-01-24,109.555,109.646,109.168,109.248,19484,11,0
2020-01-26,108.936,108.996,108.716,108.79,3034,20,0
2020-01-27,108.793,109.131,108.793,108.922,27245,11,0
2020-01-28,108.925,109.228,108.755,109.126,23125,11,0
2020-01-29,109.129,109.25,108.929,108.978,21455,11,0
2020-01-30,108.981,109.041,108.58,108.874,29261,11,0
2020-01-31,108.88,109.128,108.308,108.346,26264,11,0
2020-02-02,108.414,108.417,108.299,108.36,2267,20,0
2020-02-03,108.371,108.793,108.363,108.604,26776,11,0
2020-02-04,108.609,109.538,108.545,109.433,23284,11,0
2020-02-05,109.436,109.838,109.3,109.803,24754,11,0
2020-02-06,109.808,109.997,109.777,109.954,19913,11,0
2020-02-07,109.957,109.998,109.528,109.755,21724,11,0
2020-02-09,109.659,109.757,109.546,109.603,2096,20,0
2020-02-10,109.604,109.872,109.603,109.76,20253,11,0
2020-02-11,109.762,109.956,109.723,109.834,16391,11,0
2020-02-12,109.836,110.128,109.797,109.856,16762,11,0
2020-02-13,109.86,109.981,109.615,109.753,23266,11,0
2020-02-14,109.759,109.904,109.695,109.77,15241,11,0
2020-02-16,109.791,109.816,109.738,109.786,1477,20,0
2020-02-17,109.788,109.955,109.715,109.827,11056,11,0
2020-02-18,109.829,109.942,109.655,109.905,18725,11,0
2020-02-19,109.91,111.586,109.858,111.183,21973,11,0
2020-02-20,111.188,112.219,111.108,111.961,35934,11,0
2020-02-21,111.965,112.179,111.472,111.537,28826,11,0
2020-02-23,111.383,111.576,111.368,111.535,2973,20,0
2020-02-24,111.539,111.677,110.329,110.837,37571,11,0
2020-02-25,110.842,111.036,109.887,110.269,44092,11,0
2020-02-26,110.278,110.695,110.126,110.356,47141,11,0
2020-02-27,110.367,110.396,109.351,109.6,54368,11,0
2020-02-28,109.608,109.66,107.507,108.029,63572,11,0
2020-03-01,107.552,107.716,107.389,107.66,3321,20,0
2020-03-02,107.664,108.572,107.399,108.474,63450,11,0
2020-03-03,108.498,108.521,106.834,107.025,67274,11,0
2020-03-04,107.044,107.681,107.03,107.665,47305,11,0
2020-03-05,107.687,107.71,105.976,106.238,45609,11,0
2020-03-06,106.249,106.336,104.99,105.321,69640,11,0
2020-03-08,104.264,104.518,103.66,103.932,9479,11,0
2020-03-09,103.932,104.258,101.18,103.078,130116,11,0
2020-03-10,103.078,105.913,102.702,105.041,115141,11,0
2020-03-11,105.04,105.324,104.094,104.533,88423,11,0
2020-03-12,104.531,106.096,103.079,104.665,126475,11,0
2020-03-13,104.664,108.497,104.655,107.747,102818,11,0
2020-03-15,107.154,107.156,105.732,106.495,15556,11,0
2020-03-16,106.496,107.564,105.146,106.211,116450,11,0
2020-03-17,106.213,107.855,106.072,107.38,117744,11,0
2020-03-18,107.382,108.649,106.752,108.362,101409,11,0
