time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,61.202,61.275,60.523,60.986,17232,33,0
2020-01-03,60.997,63.761,60.97,62.893,35136,33,0
2020-01-05,63.711,63.743,63.418,63.655,1078,33,0
2020-01-06,63.675,64.46,62.488,62.749,29504,33,0
2020-01-07,62.765,64.969,61.993,64.629,28146,33,0
2020-01-08,64.654,65.339,59.012,59.796,42434,33,0
2020-01-09,59.807,60.123,58.564,59.418,30687,33,0
2020-01-10,59.418,59.652,58.78,59.109,23716,33,0
2020-01-12,58.78,58.843,58.635,58.827,478,49,0
2020-01-13,58.843,59.178,57.884,58.091,22185,49,0
2020-01-14,58.09,58.684,57.701,58.072,23267,49,0
2020-01-15,58.09,58.359,57.381,58.11,20271,49,0
2020-01-16,58.109,58.803,57.546,58.58,18673,49,0
2020-01-17,58.595,58.904,58.248,58.719,17357,49,0
2020-01-19,59.384,59.49,59.156,59.207,835,49,0
2020-01-20,59.206,59.265,58.501,58.693,9845,49,0
2020-01-21,58.693,58.782,57.666,58.27,18282,49,0
2020-01-22,58.27,58.337,56.063,56.086,18880,49,0
2020-01-23,56.105,56.127,54.743,55.626,22389,49,0
2020-01-24,55.622,55.895,53.819,54.226,18304,49,0
2020-01-26,52.484,52.78,52.467,52.584,1274,55,0
2020-01-27,52.595,53.37,52.146,52.944,25150,33,0
2020-01-28,52.957,53.853,52.668,53.744,20583,33,0
2020-01-29,53.759,54.261,52.786,53.114,21387,49,0
2020-01-30,53.128,53.162,51.664,52.894,26691,33,0
2020-01-31,52.904,53.327,51.019,51.62,32743,33,0
2020-02-02,51.126,51.141,50.948,51.073,812,55,0
2020-02-03,51.09,51.963,49.826,49.979,33446,33,0
2020-02-04,49.981,51.502,49.508,49.686,31884,33,0
2020-02-05,49.685,51.886,49.685,51.303,32672,33,0
2020-02-06,51.314,52.235,50.358,51.547,31619,33,0
2020-02-07,51.558,51.561,50.239,50.569,29138,33,0
2020-02-09,50.057,50.153,49.712,49.923,977,33,0
2020-02-10,49.936,50.6,49.57,49.952,29901,33,0
2020-02-11,49.962,50.789,49.892,50.301,26019,33,0
2020-02-12,50.314,52.101,50.271,51.65,26570,33,0
2020-02-13,51.669,51.958,50.798,51.615,29668,33,0
2020-02-14,51.616,52.466,51.534,52.418,25975,33,0
2020-02-16,52.391,52.429,52.313,52.322,378,55,0
2020-02-17,52.337,52.435,52.025,52.198,12628,33,0
2020-02-18,52.2,52.405,51.165,52.366,17828,33,0
2020-02-19,52.386,53.75,52.174,53.746,17361,33,0
2020-02-20,53.76,54.536,53.377,53.485,20939,33,0
2020-02-21,53.484,53.808,52.556,53.337,22428,33,0
2020-02-23,51.975,52.13,51.917,52.057,698,55,0
2020-02-24,52.072,52.259,50.47,51.468,28514,33,0
2020-02-25,51.478,51.996,49.726,50.185,31152,33,0
2020-02-26,50.187,50.422,48.259,48.43,40029,33,0
2020-02-27,48.443,48.553,45.957,46.86,44653,33,0
2020-02-28,46.86,46.932,43.927,45.317,56820,33,0
2020-03-01,44.219,44.645,44.118,44.627,1468,55,0
2020-03-02,44.646,47.933,44.49,47.919,51269,33,0
2020-03-03,47.944,48.639,46.542,47.051,52402,33,0
2020-03-04,47.067,48.437,46.733,47.407,50351,33,0
2020-03-05,47.411,47.615,45.735,46.306,45948,33,0
2020-03-06,46.316,46.451,41.201,41.669,55556,33,0
2020-03-08,33.64,33.685,32.073,32.741,4193,33,0
2020-03-09,32.745,34.787,27.681,32.667,60940,33,0
