time,open,high,low,close,tick_volume,spread,real_volume
2020-01-01,8750.55,8761.1,8746.48,8754.24,1664,360,0
2020-01-02,8753.64,8884.71,8750.48,8876.08,43173,340,0
2020-01-03,8877.48,8884.04,8713.23,8791.49,54895,350,0
2020-01-05,8746.75,8760.64,8726.67,8759.88,2368,371,0
2020-01-06,8760.49,8854.13,8705.18,8830.98,52937,340,0
2020-01-07,8834.91,8875.87,8709.1,8734.36,54935,342,0
2020-01-08,8698.22,8953.78,8660.6,8934.54,58542,355,0
2020-01-09,8938.1,9003.66,8915.56,8998.38,50953,350,0
2020-01-10,8999.02,9037.58,8949.52,8960.35,45604,346,0
2020-01-12,8971.25,8982.41,8967.16,8970.85,1453,391,0
2020-01-13,8973.76,9090.7,8969.26,9088.72,44269,354,0
2020-01-14,9091.76,9098.29,9013.97,9015.12,51761,354,0
2020-01-15,9021.04,9079.74,9007.48,9058.81,49429,358,0
2020-01-16,9057.93,9142.86,9048.68,9131.65,45752,354,0
2020-01-17,9130.05,9174.91,9116.04,9158.04,43778,353,0
2020-01-19,9158.63,9172.0,9155.47,9171.86,1515,373,0
2020-01-20,9172.25,9174.18,9147.59,9157.76,25580,349,0
2020-01-21,9157.81,9185.55,9103.11,9166.15,49999,351,0
2020-01-22,9169.59,9241.67,9166.01,9170.62,49595,360,0
2020-01-23,9171.72,9260.1,9140.14,9258.59,52474,363,0
2020-01-24,9256.74,9275.84,9099.16,9125.5,44599,358,0
2020-01-26,9046.55,9048.25,8983.94,9004.72,2451,431,0
2020-01-27,9015.88,9043.66,8916.28,8969.93,53410,367,0
2020-01-28,8973.23,9126.39,8956.53,9091.19,49082,359,0
2020-01-29,9089.94,9149.32,9063.79,9112.91,46188,313,0
2020-01-30,9110.97,9230.76,8994.64,9208.89,56428,314,0
2020-01-31,9202.69,9239.13,8957.39,9004.42,52292,321,0
2020-02-02,9019.63,9029.55,8991.72,9013.79,2228,359,0
2020-02-03,9021.45,9149.43,9013.81,9083.81,51716,322,0
2020-02-04,9101.33,9362.01,9095.85,9331.14,47266,320,0
2020-02-05,9338.76,9455.35,9311.43,9372.11,53335,320,0
2020-02-06,9370.04,9458.37,9354.21,9455.33,50549,321,0
2020-02-07,9453.57,9455.22,9373.43,9388.82,46564,325,0
2020-02-09,9389.29,9413.13,9320.75,9346.06,2408,363,0
2020-02-10,9350.9,9521.21,9347.78,9515.33,47047,320,0
2020-02-11,9513.75,9599.1,9491.53,9531.76,44823,323,0
2020-02-12,9531.89,9618.52,9514.9,9565.34,44398,314,0
