time,open,high,low,close,tick_volume,spread,real_volume
2020-01-02,17.882,18.08,17.777,18.015,14111,32,0
2020-01-03,18.014,18.256,17.984,18.037,19637,32,0
2020-01-05,18.2,18.287,18.153,18.162,1378,32,0
2020-01-06,18.159,18.49,18.002,18.105,20609,32,0
2020-01-07,18.105,18.589,17.937,18.569,21224,32,0
2020-01-08,18.568,18.84,18.045,18.114,28493,32,0
2020-01-09,18.118,18.19,17.788,17.898,20105,32,0
2020-01-10,17.899,18.137,17.832,18.085,15290,32,0
2020-01-12,18.059,18.077,18.019,18.042,414,32,0
2020-01-13,18.042,18.064,17.908,17.914,13358,32,0
2020-01-14,17.914,17.926,17.67,17.82,16457,32,0
2020-01-15,17.819,18.024,17.738,18.002,15532,32,0
2020-01-16,18.003,18.035,17.856,17.937,13702,32,0
2020-01-17,17.935,18.157,17.891,18.022,13950,32,0
2020-01-19,18.043,18.043,18.011,18.025,376,32,0
2020-01-20,18.025,18.115,17.986,18.059,8215,32,0
2020-01-21,18.058,18.139,17.622,17.742,17416,32,0
2020-01-22,17.741,17.915,17.674,17.864,13889,32,0
2020-01-23,17.864,17.882,17.592,17.757,15689,32,0
2020-01-24,17.759,18.133,17.735,18.088,14267,32,0
2020-01-26,18.241,18.333,18.183,18.193,1176,32,0
2020-01-27,18.195,18.322,18.032,18.073,17366,32,0
2020-01-28,18.072,18.105,17.427,17.465,15557,32,0
2020-01-29,17.464,17.576999999999998,17.346,17.561,12535,32,0
2020-01-30,17.56,18.025,17.551,17.823,17188,32,0
2020-01-31,17.823,18.079,17.781,18.018,15434,32,0
2020-02-02,18.032,18.084,18.027,18.065,843,32,0
2020-02-03,18.064,18.068,17.588,17.684,17648,32,0
2020-02-04,17.684,17.769,17.516,17.597,15927,32,0
2020-02-05,17.597,17.711,17.474,17.611,16821,32,0
2020-02-06,17.609,17.869,17.6,17.8,14947,32,0
2020-02-07,17.798000000000002,17.849,17.612,17.677,15337,32,0
2020-02-09,17.676,17.765,17.675,17.732,737,32,0
2020-02-10,17.731,17.826,17.669,17.75,13080,32,0
2020-02-11,17.75,17.795,17.561,17.619,12594,32,0
2020-02-12,17.619,17.657,17.454,17.513,12905,32,0
2020-02-13,17.512,17.72,17.501,17.652,13654,32,0
2020-02-14,17.649,17.795,17.608,17.722,11383,32,0
2020-02-16,17.696,17.727,17.682,17.727,320,32,0
2020-02-17,17.726,17.876,17.708,17.797,7452,32,0
2020-02-18,17.797,18.219,17.794,18.151,14422,32,0
