lookback,skip,vol_lookback,risk_lookback,rebalance_every,cagr,ann_vol,max_drawdown,sharpe,total_pnl,trade_count,turnover,hit_rate,payoff_ratio,wf_total_windows,wf_mean_oos_sharpe,wf_pct_profitable_windows,wf_oos_return_mean,wf_oos_return_std,classification
189.0,0.0,40.0,10.0,3.0,-0.017003292035912443,0.01530484654836771,0.13175320492941645,-1.1128357280680239,-0.23131630487667842,2315,0.15049643922820413,0.33563714902807773,1.1166835330354081,5,-1.083223789827865,20.0,-0.011351535258522904,0.018520972747937705,FRAGILE
189.0,0.0,40.0,10.0,5.0,-0.017003292035912443,0.01530484654836771,0.13175320492941645,-1.1128357280680239,nan,1330,0.15049643922820413,0.37669172932330824,1.1095421348808343,5,-1.083223789827865,20.0,-0.011351535258522904,0.018520972747937705,FRAGILE
189.0,0.0,40.0,10.0,10.0,-0.017003292035912443,0.01530484654836771,0.13175320492941645,-1.1128357280680239,-0.0342012059301057,649,0.15049643922820413,0.4437596302003082,1.0584016137799452,5,-1.083223789827865,20.0,-0.011351535258522904,0.018520972747937705,FRAGILE
189.0,0.0,40.0,15.0,3.0,-0.010969545452304996,0.015143262029923608,0.09365697755499958,-0.7207976138193797,-0.189007826785276,2249,0.14381295914255138,0.34104046242774566,1.1879679956485778,5,-0.3708716432870134,20.0,-0.0015843299145225087,0.017473260893150797,FRAGILE
189.0,0.0,40.0,15.0,5.0,-0.010969545452304996,0.015143262029923608,0.09365697755499958,-0.7207976138193797,-0.08399529386172212,1304,0.14381295914255138,0.38266871165644173,1.200974722333168,5,-0.3708716432870134,20.0,-0.0015843299145225087,0.017473260893150797,FRAGILE
189.0,0.0,40.0,15.0,10.0,-0.010969545452304996,0.015143262029923608,0.09365697755499958,-0.7207976138193797,-0.014742021599133855,656,0.14381295914255138,0.43902439024390244,1.1859943413026335,5,-0.3708716432870134,20.0,-0.0015843299145225087,0.017473260893150797,FRAGILE
189.0,0.0,40.0,20.0,3.0,-0.009346576834794895,0.01540240276637428,0.08116877254925259,-0.6019619283827785,-0.1948983199849259,2252,0.14134872426772546,0.3521314387211368,1.1251683049349233,5,-0.3054199831393912,40.0,-2.4545356858451937e-05,0.013614718983478678,FRAGILE
189.0,0.0,40.0,20.0,5.0,-0.009346576834794895,0.01540240276637428,0.08116877254925259,-0.6019619283827785,-0.09828203851490519,1368,0.14134872426772546,0.3823099415204678,1.1674347460519348,5,-0.3054199831393912,40.0,-2.4545356858451937e-05,0.013614718983478678,FRAGILE
189.0,0.0,40.0,20.0,10.0,-0.009346576834794895,0.01540240276637428,0.08116877254925259,-0.6019619283827785,-0.02840627394553078,678,0.14134872426772546,0.4365781710914454,1.1265009333415956,5,-0.3054199831393912,40.0,-2.4545356858451937e-05,0.013614718983478678,FRAGILE
189.0,0.0,40.0,25.0,3.0,-0.010466783578791494,0.015499659286499545,0.08530231790978338,-0.6710805986447541,-0.23322305976658342,2267,0.14135208064487564,0.34009704455227174,1.0727404723637484,5,-0.44930226856057853,20.0,-0.002348246756252448,0.013253460151262492,FRAGILE
189.0,0.0,40.0,25.0,5.0,-0.010466783578791494,0.015499659286499545,0.08530231790978338,-0.6710805986447541,-0.14738935684166304,1361,0.14135208064487564,0.36223365172667155,1.090654317779077,5,-0.44930226856057853,20.0,-0.002348246756252448,0.013253460151262492,FRAGILE
189.0,0.0,40.0,25.0,10.0,-0.010466783578791494,0.015499659286499545,0.08530231790978338,-0.6710805986447541,-0.05036145850943113,657,0.14135208064487564,0.4048706240487062,1.146567853913331,5,-0.44930226856057853,20.0,-0.002348246756252448,0.013253460151262492,FRAGILE
189.0,0.0,40.0,30.0,3.0,-0.01092542517955497,0.016488998687722765,0.09851161361410588,-0.6579687387032345,-0.24679990615897227,2386,0.15154166915158504,0.3344509639564124,1.077447174629245,5,-0.278731896605989,20.0,0.0004581979522539692,0.020620908532242695,FRAGILE
189.0,0.0,40.0,30.0,5.0,-0.01092542517955497,0.016488998687722765,0.09851161361410588,-0.6579687387032345,-0.1579992029076128,1444,0.15154166915158504,0.3573407202216066,1.091126359202617,5,-0.278731896605989,20.0,0.0004581979522539692,0.020620908532242695,FRAGILE
189.0,0.0,40.0,30.0,10.0,-0.01092542517955497,0.016488998687722765,0.09851161361410588,-0.6579687387032345,-0.0604625093668424,713,0.15154166915158504,0.4165497896213184,1.0569223897232072,5,-0.278731896605989,20.0,0.0004581979522539692,0.020620908532242695,FRAGILE
