symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
AUDCAD,LONG,2020-09-09,2020-09-11,0.956796,0.95945,2,2,0.03503,8,0.002773,0.000773,-0.000227,20.0,0.010479,-0.010606,2,1,0.0,rotated_out_top8,True,0,daily
EURUSD,LONG,2020-09-09,2020-09-14,1.18032,1.18667,5,4,0.04088,6,0.00538,0.00338,0.00238,20.0,0.009633,-0.004304,2,1,-0.000127,rotated_out_top8,True,0,daily
AUDCHF,SHORT,2020-09-11,2020-09-14,0.661535,0.661513,3,2,-0.03803,8,3.3e-05,-0.001967,-0.002967,20.0,0.0,0.0,0,0,-0.000391,rotated_out_top8,False,0,daily
AUDUSD,LONG,2020-09-14,2020-09-15,0.72825,0.72947,1,1,0.03341,8,0.001675,-0.000325,-0.001325,20.0,0.002801,-0.002568,1,1,0.0,rotated_out_top8,False,0,daily
EURGBP,LONG,2020-09-09,2020-09-17,0.908106,0.913068,8,7,0.04034,7,0.005464,0.003464,0.002464,20.0,0.027435,-0.0062,2,1,-0.016243,rotated_out_top8,True,0,daily
EURUSD,LONG,2020-09-15,2020-09-29,1.18416,1.17413,14,12,0.03616,7,-0.00847,-0.01047,-0.01147,20.0,0.004923,-0.019398,1,10,-0.018604,rotated_out_top8,False,0,daily
AUDCAD,LONG,2020-09-14,2020-10-05,0.959564,0.953566,21,18,0.03802,7,-0.006251,-0.008251,-0.009251,20.0,0.016538,-0.026259,7,11,-0.02251,rotated_out_top8,False,0,daily
EURUSD,LONG,2020-10-05,2020-10-06,1.17887,1.17367,1,1,0.04245,7,-0.004411,-0.006411,-0.007411,20.0,0.000704,-0.006048,1,1,0.0,rotated_out_top8,False,0,daily
NZDCHF,SHORT,2020-09-09,2020-10-08,0.609148,0.60402,29,25,-0.07671,2,0.008419,0.006419,0.005419,20.0,0.004976,-0.008288,25,10,-0.017738,rotated_out_top8,True,0,daily
NZDUSD,LONG,2020-10-08,2020-10-12,0.65877,0.66472,4,3,0.03531,8,0.009032,0.007032,0.006032,20.0,0.012827,-0.006345,2,1,0.0,rotated_out_top8,True,0,daily
USDCHF,SHORT,2020-09-09,2020-10-14,0.91213,0.91335,35,30,-0.04496,5,-0.001338,-0.003338,-0.004338,20.0,0.00364,-0.017004,6,16,-0.02219,rotated_out_top8,False,0,daily
NZDCHF,SHORT,2020-10-14,2020-10-15,0.607862,0.603355,1,1,-0.03709,8,0.007414,0.005414,0.004414,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,True,0,daily
EURUSD,LONG,2020-10-12,2020-10-28,1.18125,1.17478,16,14,0.0341,8,-0.005477,-0.007477,-0.008477,20.0,0.00574,-0.01054,9,4,-0.009007,rotated_out_top8,False,0,daily
AUDCAD,LONG,2020-10-06,2020-10-29,0.946914,0.936888,23,20,0.04601,7,-0.010588,-0.012588,-0.013588,20.0,0.014174,-0.028537,1,13,-0.025825,rotated_out_top8,False,0,daily
NZDCHF,SHORT,2020-10-28,2020-10-29,0.60539,0.606627,1,1,-0.03602,8,-0.002042,-0.004042,-0.005042,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
EURUSD,LONG,2020-10-29,2020-11-03,1.16779,1.17606,5,4,0.04174,6,0.007082,0.005082,0.004082,20.0,0.006876,-0.004881,1,4,-0.003314,rotated_out_top8,True,0,daily
NZDUSD,LONG,2020-10-29,2020-11-04,0.66277,0.66962,6,5,0.03377,8,0.010335,0.008335,0.007335,20.0,0.015224,-0.00593,5,4,-0.005009,rotated_out_top8,True,0,daily
GBPCHF,SHORT,2020-09-09,2020-11-24,1.18555,1.216664,76,65,-0.0508,4,-0.026244,-0.028244,-0.029244,20.0,0.017815,-0.019651,4,64,-0.044688,rotated_out_top8,False,16,daily
CADCHF,SHORT,2020-09-09,2020-11-24,0.693519,0.700882,76,65,-0.05778,3,-0.010617,-0.012617,-0.013617,20.0,0.006675,-0.007627,46,55,-0.025847,rotated_out_top8,False,16,daily
EURGBP,LONG,2020-09-29,2020-11-24,0.912711,0.890435,56,48,0.05073,4,-0.024407,-0.026407,-0.027407,20.0,0.005903,-0.034987,3,48,-0.026617,rotated_out_top8,False,16,daily
EURUSD,LONG,2020-11-04,2020-11-24,1.17311,1.18963,20,17,0.04155,8,0.014082,0.012082,0.011082,20.0,0.016068,-0.010988,5,1,-0.009496,rotated_out_top8,True,16,daily
AUDCAD,LONG,2020-11-03,2020-11-25,0.9426,0.957148,22,19,0.03882,7,0.015433,0.013433,0.012433,20.0,0.023043,-0.023588,19,1,-0.006196,rotated_out_top8,True,16,daily
EURGBP,SHORT,2020-11-25,2020-11-27,0.890477,0.898915,2,2,-0.03368,7,-0.009476,-0.011476,-0.012476,20.0,0.0,0.0,0,0,-0.001808,rotated_out_top8,False,0,daily
AUDCAD,LONG,2020-11-27,2020-11-29,0.958652,0.960218,2,1,0.03056,8,0.001634,-0.000366,-0.001366,20.0,0.005101,-0.005219,1,1,0.0,rotated_out_top8,False,0,daily
GBPUSD,LONG,2020-11-24,2020-12-03,1.33601,1.34489,9,8,0.03268,7,0.006647,0.004647,0.003647,20.0,0.0061,-0.005524,7,4,-0.005771,rotated_out_top8,True,0,daily
EURGBP,SHORT,2020-11-29,2020-12-04,0.898093,0.902136,5,5,-0.02931,8,-0.004502,-0.006502,-0.007502,20.0,0.0,0.0,0,0,-0.012251,rotated_out_top8,False,0,daily
AUDCAD,LONG,2020-12-04,2020-12-10,0.949117,0.958279,6,5,0.03065,8,0.009653,0.007653,0.006653,20.0,0.011917,-0.007664,5,3,-0.000292,rotated_out_top8,True,0,daily
GBPCHF,SHORT,2020-12-10,2020-12-13,1.177892,1.182363,3,2,-0.03071,7,-0.003795,-0.005795,-0.006795,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
NZDCHF,LONG,2020-12-03,2020-12-14,0.629448,0.627702,11,9,0.03303,7,-0.002773,-0.004773,-0.005773,20.0,0.010369,-0.013769,1,7,-0.009305,rotated_out_top8,False,0,daily
CADCHF,SHORT,2020-12-14,2020-12-15,0.694783,0.697252,1,1,-0.03057,7,-0.003553,-0.005553,-0.006553,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
AUDCAD,LONG,2020-12-13,2020-12-16,0.962366,0.964636,3,3,0.02618,8,0.002358,0.000358,-0.000642,20.0,0.006946,-0.010366,2,3,-0.003095,rotated_out_top8,True,0,daily
CADCHF,SHORT,2020-12-16,2020-12-17,0.694521,0.694863,1,1,-0.02676,8,-0.000493,-0.002493,-0.003493,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
NZDCHF,LONG,2020-12-15,2020-12-18,0.627115,0.630182,3,3,0.03172,7,0.004891,0.002891,0.001891,20.0,0.012725,-0.007401,3,2,0.0,rotated_out_top8,True,0,daily
GBPCHF,SHORT,2020-12-18,2020-12-21,1.192827,1.1903,3,2,-0.03155,8,0.002118,0.000118,-0.000882,20.0,0.002525,0.0,2,0,0.0,rotated_out_top8,True,0,daily
AUDCHF,LONG,2020-11-24,2020-12-24,0.670763,0.676171,30,26,0.04838,3,0.008063,0.006063,0.005063,20.0,0.010671,-0.024633,24,12,-0.018742,rotated_out_top8,True,0,daily
NZDCHF,LONG,2020-12-21,2020-12-27,0.627961,0.632525,6,4,0.03394,7,0.007268,0.005268,0.004268,20.0,0.010662,-0.014179,4,1,-0.003169,rotated_out_top8,True,0,daily
GBPUSD,LONG,2020-12-24,2020-12-27,1.35436,1.35669,3,1,0.03136,8,0.00172,-0.00028,-0.00128,20.0,0.00553,-0.003064,1,1,0.0,rotated_out_top8,False,0,daily
AUDCHF,LONG,2020-12-27,2020-12-29,0.676723,0.672527,2,2,0.03056,8,-0.006201,-0.008201,-0.009201,20.0,0.004464,-0.00891,2,2,-0.004357,rotated_out_top8,False,0,daily
EURUSD,LONG,2020-12-17,2020-12-30,1.22603,1.22957,13,10,0.03234,7,0.002887,0.000887,-0.000113,20.0,0.001175,-0.010693,10,4,-0.006403,rotated_out_top8,True,0,daily
NZDCHF,LONG,2020-12-30,2020-12-31,0.635563,0.635313,1,1,0.03424,7,-0.000394,-0.002394,-0.003394,20.0,0.004731,-0.009653,1,1,0.0,rotated_out_top8,False,0,daily
GBPUSD,LONG,2020-12-29,2021-01-08,1.34946,1.35561,10,8,0.03648,6,0.004557,0.002557,0.001557,20.0,0.015458,-0.002646,5,1,-0.0083,rotated_out_top8,True,0,daily
AUDCHF,LONG,2021-01-08,2021-01-12,0.687083,0.688722,4,3,0.02812,7,0.002385,0.000385,-0.000615,20.0,0.008272,-0.010584,1,3,-0.003136,rotated_out_top8,True,0,daily
GBPCHF,SHORT,2020-12-27,2021-01-26,1.206491,1.217713,30,25,-0.03056,7,-0.009301,-0.011301,-0.012301,20.0,0.004344,-0.002335,3,24,-0.018349,rotated_out_top8,False,9,daily
EURUSD,LONG,2020-12-31,2021-02-04,1.22161,1.19651,35,29,0.0312,8,-0.020547,-0.022547,-0.023547,20.0,0.010879,-0.017387,5,29,-0.024705,rotated_out_top8,False,16,daily
CADCHF,SHORT,2021-01-26,2021-02-04,0.698463,0.704849,9,8,-0.02516,8,-0.009144,-0.011144,-0.012144,20.0,0.001554,-0.002483,5,8,-0.014615,rotated_out_top8,False,7,daily
AUDCHF,LONG,2021-02-04,2021-02-11,0.686843,0.689705,7,6,0.03027,7,0.004167,0.002167,0.001167,20.0,0.012995,-0.007904,5,2,-0.007405,rotated_out_top8,True,5,daily
EURGBP,SHORT,2021-02-04,2021-02-12,0.875333,0.874622,8,7,-0.02876,8,0.000812,-0.001188,-0.002188,20.0,0.0,-0.000619,0,3,-0.003513,rotated_out_top8,False,5,daily
CADCHF,SHORT,2021-02-12,2021-02-18,0.702614,0.706519,6,5,-0.0393,7,-0.005558,-0.007558,-0.008558,20.0,0.0,0.0,0,0,-0.006923,rotated_out_top8,False,0,daily
EURGBP,SHORT,2021-02-18,2021-02-23,0.865816,0.86056,5,4,-0.02422,8,0.00607,0.00407,0.00307,20.0,0.0,0.0,0,0,-0.000505,rotated_out_top8,True,0,daily
EURUSD,LONG,2021-02-11,2021-03-18,1.21295,1.19171,35,30,0.02929,7,-0.017511,-0.019511,-0.020511,20.0,0.009316,-0.024263,13,23,-0.026267,rotated_out_top8,False,19,daily
NZDCHF,LONG,2021-02-23,2021-03-19,0.663783,0.665633,24,21,0.0239,8,0.002787,0.000787,-0.000213,20.0,0.021176,-0.017971,2,4,-0.026551,rotated_out_top8,True,19,daily
EURGBP,SHORT,2021-03-19,2021-03-22,0.858578,0.860974,3,2,-0.02578,8,-0.002791,-0.004791,-0.005791,20.0,0.0,0.0,0,0,-0.000585,rotated_out_top8,False,0,daily
NZDCHF,LONG,2021-03-22,2021-03-25,0.658404,0.654307,3,3,0.03476,7,-0.006222,-0.008222,-0.009222,20.0,0.015394,-0.020469,1,2,-0.009557,rotated_out_top8,False,0,daily
EURGBP,SHORT,2021-03-25,2021-03-26,0.85664,0.855166,1,1,-0.02957,8,0.00172,-0.00028,-0.00128,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,False,0,daily
AUDCHF,LONG,2021-03-18,2021-03-30,0.718849,0.716476,12,10,0.04138,6,-0.003301,-0.005301,-0.006301,20.0,0.01589,-0.024078,1,5,-0.012417,rotated_out_top8,False,0,daily
NZDUSD,LONG,2020-11-24,2021-03-31,0.69753,0.69816,127,107,0.04509,4,0.000903,-0.001097,-0.002097,20.0,0.070004,-0.007455,79,1,-0.067954,rotated_out_top8,False,40,daily
EURGBP,SHORT,2021-03-30,2021-03-31,0.852871,0.850686,1,1,-0.03135,8,0.002563,0.000563,-0.000437,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,True,0,daily
NZDCHF,LONG,2021-03-31,2021-04-01,0.658965,0.66108,1,1,0.03358,8,0.003209,0.001209,0.000209,20.0,0.008241,-0.006472,1,1,0.0,rotated_out_top8,True,0,daily
USDCHF,SHORT,2020-10-15,2021-04-02,0.91459,0.94096,169,143,-0.03493,8,-0.028833,-0.030833,-0.031833,20.0,0.036082,-0.028242,69,143,-0.072174,rotated_out_top8,False,56,daily
GBPUSD,LONG,2021-01-12,2021-04-02,1.36645,1.38222,80,69,0.02277,8,0.011541,0.009541,0.008541,20.0,0.042065,-0.011775,38,1,-0.033349,rotated_out_top8,True,40,daily
NZDCAD,SHORT,2021-04-02,2021-04-05,0.881726,0.884478,3,2,-0.02921,7,-0.003121,-0.005121,-0.006121,20.0,0.0,0.0,0,0,-0.001553,rotated_out_top8,False,0,daily
GBPCHF,LONG,2021-03-26,2021-04-09,1.295016,1.266972,14,12,0.03235,8,-0.021655,-0.023655,-0.024655,20.0,0.014102,-0.022129,9,12,-0.026024,rotated_out_top8,False,0,daily
NZDUSD,LONG,2021-04-09,2021-04-13,0.70316,0.70593,4,3,0.03242,7,0.003939,0.001939,0.000939,20.0,0.00475,-0.003285,1,1,-0.00074,rotated_out_top8,True,0,daily
EURGBP,SHORT,2021-04-01,2021-04-15,0.851359,0.868394,14,12,-0.03158,8,-0.020009,-0.022009,-0.023009,20.0,0.0,-0.018224,0,9,-0.02394,rotated_out_top8,False,0,daily
GBPCHF,LONG,2021-04-13,2021-04-16,1.266112,1.273095,3,3,0.02759,8,0.005515,0.003515,0.002515,20.0,0.008302,-0.005269,3,1,-0.000434,rotated_out_top8,True,0,daily
NZDCAD,SHORT,2021-04-15,2021-04-19,0.899887,0.900164,4,3,-0.03662,5,-0.000308,-0.002308,-0.003308,20.0,0.007704,0.0,3,0,0.0,rotated_out_top8,False,0,daily
AUDUSD,LONG,2020-09-17,2021-04-20,0.73127,0.77215,215,182,0.05393,4,0.055903,0.053903,0.052903,20.0,0.094876,-0.044074,137,40,-0.052621,rotated_out_top8,True,56,daily
GBPCHF,LONG,2021-04-20,2021-04-29,1.276685,1.267861,9,8,0.02784,8,-0.006911,-0.008911,-0.009911,20.0,0.006107,-0.013486,1,8,-0.007747,rotated_out_top8,False,0,daily
CADCHF,LONG,2021-04-05,2021-05-10,0.747658,0.744604,35,30,0.02385,8,-0.004084,-0.006084,-0.007084,20.0,0.009798,-0.032511,1,15,-0.028509,rotated_out_top8,False,1,daily
GBPCHF,LONG,2021-05-10,2021-05-16,1.27236,1.270992,6,5,0.02295,7,-0.001075,-0.003075,-0.004075,20.0,0.011469,-0.010355,3,1,-0.005917,rotated_out_top8,False,3,daily
AUDCHF,LONG,2021-03-31,2021-06-01,0.716692,0.695663,62,53,0.04497,4,-0.029341,-0.031341,-0.032341,20.0,0.008741,-0.039166,5,51,-0.034169,rotated_out_top8,False,17,daily
NZDCHF,LONG,2021-04-02,2021-06-01,0.660149,0.650471,60,51,0.03331,5,-0.014661,-0.016661,-0.017661,20.0,0.010986,-0.029972,23,43,-0.02862,rotated_out_top8,False,17,daily
CADCHF,LONG,2021-05-16,2021-06-01,0.744233,0.743198,16,14,0.02027,8,-0.001391,-0.003391,-0.004391,20.0,0.010551,-0.010008,3,10,-0.011887,rotated_out_top8,False,13,daily
NZDCAD,SHORT,2021-06-01,2021-06-03,0.875232,0.865191,2,2,-0.0316,7,0.011472,0.009472,0.008472,20.0,0.0,0.0,0,0,0.0,rotated_out_top8,True,0,daily
