symbol,direction,entry_ts,exit_ts,entry_price,exit_price,holding_calendar_days,holding_trading_days,signal_strength_entry,rank_at_entry,gross_return,net_return_10bps_side,net_return_15bps_side,cost_roundtrip_bps,mfe,mae,time_to_mfe_trading_days,time_to_mae_trading_days,max_intradrawdown_from_peak,exit_reason,profitable_net,regime_off_days_during_trade,cadence_label
AUDCHF,SHORT,2020-09-13,2020-09-18,0.661794,0.663908,5,5,-0.03664,8,-0.003194,-0.005194,-0.006194,20.0,0.0,0.0,0,0,-0.004176,rotated_out_top8,False,0,weekly
EURGBP,LONG,2020-09-13,2020-09-18,0.924553,0.916533,5,5,0.04127,7,-0.008674,-0.010674,-0.011674,20.0,0.005243,-0.023319,2,5,-0.014866,rotated_out_top8,False,0,weekly
NZDCHF,SHORT,2020-09-13,2020-10-08,0.607652,0.60402,25,22,-0.07552,2,0.005978,0.003978,0.002978,20.0,0.002528,-0.010769,22,7,-0.013175,rotated_out_top8,True,0,weekly
EURUSD,LONG,2020-09-13,2020-10-08,1.18401,1.17665,25,22,0.04399,6,-0.006216,-0.008216,-0.009216,20.0,0.005051,-0.019273,3,12,-0.020304,rotated_out_top8,False,0,weekly
NZDUSD,LONG,2020-10-08,2020-10-13,0.65877,0.66535,5,4,0.03531,8,0.009988,0.007988,0.006988,20.0,0.012827,-0.006345,2,1,-0.002383,rotated_out_top8,True,0,weekly
EURUSD,LONG,2020-10-13,2020-10-28,1.17417,1.17478,15,13,0.03166,8,0.00052,-0.00148,-0.00248,20.0,0.011804,-0.004573,8,3,-0.006387,rotated_out_top8,False,0,weekly
AUDCAD,LONG,2020-09-18,2020-11-02,0.962122,0.93216,45,38,0.04996,7,-0.031142,-0.033142,-0.034142,20.0,0.013835,-0.043892,3,28,-0.03918,rotated_out_top8,False,0,weekly
NZDCHF,SHORT,2020-10-28,2020-11-02,0.60539,0.608887,5,4,-0.03602,8,-0.005777,-0.007777,-0.008777,20.0,0.0,0.0,0,0,-0.002042,rotated_out_top8,False,0,weekly
GBPCHF,SHORT,2020-09-13,2020-11-27,1.163926,1.202898,75,65,-0.05197,4,-0.033483,-0.035483,-0.036483,20.0,0.0,-0.038936,0,63,-0.04531,rotated_out_top8,False,3,weekly
CADCHF,SHORT,2020-09-13,2020-11-27,0.689567,0.696168,75,65,-0.05437,3,-0.009573,-0.011573,-0.012573,20.0,0.000982,-0.013402,43,52,-0.025995,rotated_out_top8,False,3,weekly
EURGBP,LONG,2020-10-08,2020-11-27,0.909397,0.898915,50,43,0.04879,4,-0.011526,-0.013526,-0.014526,20.0,0.008526,-0.031469,12,40,-0.026714,rotated_out_top8,False,3,weekly
EURUSD,LONG,2020-11-02,2020-11-27,1.16392,1.19588,25,22,0.03738,8,0.027459,0.025459,0.024459,20.0,0.025878,-0.003179,22,3,-0.009571,rotated_out_top8,True,3,weekly
AUDCAD,LONG,2020-11-27,2020-12-02,0.958652,0.957477,5,4,0.03056,8,-0.001225,-0.003225,-0.004225,20.0,0.005101,-0.010774,1,3,-0.006227,rotated_out_top8,False,0,weekly
GBPUSD,LONG,2020-11-27,2020-12-07,1.33036,1.33529,10,8,0.03721,7,0.003706,0.001706,0.000706,20.0,0.017672,-0.0013,7,1,-0.003999,rotated_out_top8,True,0,weekly
EURGBP,SHORT,2020-12-02,2020-12-07,0.906267,0.906792,5,4,-0.02993,8,-0.000579,-0.002579,-0.003579,20.0,0.001764,0.0,4,0,-0.001468,rotated_out_top8,False,0,weekly
AUDCAD,LONG,2020-12-07,2020-12-17,0.949128,0.969176,10,9,0.02611,8,0.021122,0.019122,0.018122,20.0,0.021037,-0.007675,9,1,-0.003138,rotated_out_top8,True,0,weekly
NZDCHF,LONG,2020-12-07,2020-12-27,0.62655,0.632525,20,16,0.03236,7,0.009537,0.007537,0.006537,20.0,0.013639,-0.011959,10,13,-0.009388,rotated_out_top8,True,0,weekly
AUDCHF,LONG,2020-11-27,2021-01-06,0.667383,0.686031,40,32,0.04412,4,0.027943,0.025943,0.024943,20.0,0.027418,-0.019693,29,9,-0.015626,rotated_out_top8,True,0,weekly
GBPUSD,LONG,2021-01-06,2021-01-11,1.36211,1.35204,5,4,0.02712,8,-0.007393,-0.009393,-0.010393,20.0,0.003605,-0.008428,1,4,-0.007753,rotated_out_top8,False,0,weekly
GBPCHF,SHORT,2020-12-27,2021-01-26,1.206491,1.217713,30,25,-0.03056,7,-0.009301,-0.011301,-0.012301,20.0,0.004344,-0.002335,3,24,-0.018349,rotated_out_top8,False,1,weekly
AUDCHF,LONG,2021-01-11,2021-01-26,0.685424,0.687149,15,13,0.02332,8,0.002518,0.000518,-0.000482,20.0,0.015304,-0.008421,4,13,-0.011674,rotated_out_top8,True,1,weekly
EURUSD,LONG,2020-12-17,2021-03-22,1.22603,1.19319,95,79,0.03234,7,-0.026786,-0.028786,-0.029786,20.0,0.007235,-0.034673,16,69,-0.039762,rotated_out_top8,False,9,weekly
CADCHF,SHORT,2021-01-26,2021-03-22,0.698463,0.737488,55,47,-0.02516,8,-0.055874,-0.057874,-0.058874,20.0,0.001554,-0.064825,5,41,-0.075741,rotated_out_top8,False,8,weekly
